Ryan Jeffers,,4550000
Camilo Doval,,4525000
Alexis Diaz,,4500000
Chris Stratton,,4500000
Emmanuel Clase,,4500000
Jake Junis,,4500000
Jesús Sánchez,,4500000
Jonathan Loaisiga,,4500000
Luis Garcia,,4500000
Ryan Brasier,,4500000
Ryne Stanek,,4500000
George Kirby,,4300000
Colin Rea,,4250000
Griffin Canning,,4250000
Wandy Peralta,,4250000
Steven Kwan,,4175000
Jhoan Duran,,4125000
Jeremy Pena,,4100000
Paul Blackburn,,4050000
Tommy Pham,,4025000
Austin Hays,,4000000
Austin Hedges,,4000000
Ezequiel Tovar,,4000000
Harrison Bader,,4000000
Jackson Chourio,,4000000
Joe Ross,,4000000
Justin Turner,,4000000
Ramon Laureano,,4000000
Spencer Strider,,4000000
Tom Murphy,,4000000
Tyler Kinley,,4000000
Tanner Houck,,3950000
Dylan Moore,,3825000
Pete Fairbanks,,3817000
Garrett Crochet,,3800000
Jarren Duran,,3750000
Hunter Harvey,,3700000
Clarke Schmidt,,3600000
Shane McClanahan,,3600000
Bailey Ober,,3550000
Jorge Mateo,,3550000
Aaron Bummer,,3500000
Austin Barnes,,3500000
Cal Quantrill,,3500000
Colt Keith,,3500000
Donovan Solano,,3500000
Josh Rojas,,3500000
Martín Pérez,,3500000
Victor Robles,,3500000
Wilmer Flores,,3500000
Bryan Abreu,,3450000
Jose Trevino,,3425000
Chas McCormick,,3400000
Gavin Lux,,3325000
Aaron Ashby,,3250000
Andres Munoz,,3250000
Thairo Estrada,,3250000
Bryson Stott,,3200000
Jason Foley,,3150000
Ramon Urias,,3150000
Jake Fraley,,3125000
Tyrone Taylor,,3025000
Matt Vierling,,3005000
Brandon Marsh,,3000000
Caleb Ferguson,,3000000
Danny Coulombe,,3000000
Edmundo Sosa,,3000000
Erik Swanson,,3000000
Joe Ryan,,3000000
Jorge López,,3000000
Kris Bubic,,3000000
Lucas Sims,,3000000
Miguel Andujar,,3000000
Joel Payamps,,2995000
Ryan Thompson,,2965000
A.J. Puk,,2950000
Dean Kremer,,2950000
Lars Nootbaar,,2950000
MacKenzie Gore,,2890000
Brendan Donovan,,2850000
Brusdar Graterol,,2800000
Caleb Thielbar,,2750000
Derek Law,,2750000
Kutter Crawford,,2750000
Seth Brown,,2700000
Dane Dunning,,2660000
MJ Melendez,,2650000
Jake Rogers,,2640000
Trevor Rogers,,2600000
Geraldo Perdomo,,2550000
Brayan Bello,,2500000
Hoby Milner,,2500000
Hyeseong Kim,,2500000
Kevin Newman,,2500000
Kyle Farmer,,2500000
Kyle Hendricks,,2500000
Luke Weaver,,2500000
Tim Hill,,2500000
Kevin Ginkel,,2425000
Jose Siri,,2400000
Santiago Espinal,,2400000
Griffin Jax,,2365000
Kyle Bradish,,2350000
Casey Mize,,2340000
Jake Meyers,,2300000
Jarred Kelenic,,2300000
John Schreiber,,2300000
Trevor Stephan,,2300000
Ryan Feltner,,2275000
JoJo Romero,,2260000
Alex Vesia,,2250000
Ben Lively,,2250000
Brent Suter,,2250000
Justin Wilson,,2250000
Bailey Falter,,2222000
Alek Manoah,,2200000
Cionel Perez,,2200000
Giovanny Urshela,,2150000
Dustin May,,2135000
Andre Pallante,,2100000
Jo Adell,,2100000
Rob Refsnyder,,2100000
Trevor Larnach,,2100000
Tyler Wells,,2075000
Mark Leiter Jr.,,2050000
Adrian Morejon,,2000000
Amed Rosario,,2000000
Brent Rooker,,2000000
Drew Rasmussen,,2000000
Jacob Stallings,,2000000
Jon Berti,,2000000
Jose Quintana,,2000000
Mickey Moniak,,2000000
Orlando Arcia,,2000000
Randal Grichuk,,2000000
Scott Alexander,,2000000
Trent Thornton,,2000000
Nick Lodolo,,1975000
Tylor Megill,,1975000
Ernie Clement,,1970000
Edward Cabrera,,1950000
Michael A. Taylor,,1950000
Mike Tauchman,,1950000
Triston McKenzie,,1950000
Trevor Megill,,1940000
Luis Garcia,,1875000
Nick Fortes,,1860000
Reid Detmers,,1825000
JT Brubaker,,1820000
Kyle Wright,,1800000
T.J. McFarland,,1800000
